tranche_horaire;consommation;gaz cogénérations;hydraulique;éolien onshore;solaire;biomasse;annee
223;0.000141489;0.663970588;0.445446009;0.228355838;-0.000117275;0.5465;2018
224;0.000152954;0.669117647;0.580469484;0.199960286;-0.000117275;0.535;2018
225;0.000154107;0.66888369;0.521924883;0.183214191;0.005746452;0.5345;2018
226;0.00015425;0.657185829;0.488450704;0.160180037;0.061920957;0.5225;2018
227;0.000152549;0.652974599;0.454366197;0.133770188;0.153043274;0.5305;2018
228;0.000152885;0.652740642;0.446901408;0.113582208;0.217661546;0.5355;2018
229;0.00015168;0.665140374;0.447793427;0.098623246;0.235721825;0.542;2018
230;0.000147535;0.666778075;0.408169014;0.092798517;0.211094171;0.538;2018
231;0.000143062;0.667245989;0.391877934;0.081943341;0.181775537;0.541;2018
232;0.000140511;0.662332888;0.391596244;0.085914747;0.090653219;0.5395;2018
233;0.000141051;0.669819519;0.394600939;0.086907599;0.01653571;0.539;2018
234;0.000150717;0.674498663;0.483051643;0.100476569;-0.000234549;0.551;2018
235;0.000158027;0.678241979;0.518779343;0.120267408;-0.000117275;0.553;2018
236;0.000153714;0.681049465;0.447793427;0.128872121;-0.000117275;0.55;2018
237;0.000143922;0.678475936;0.414413146;0.131718295;-0.000117275;0.5525;2018
238;0.000136807;0.674966578;0.399671362;0.125628806;-0.000117275;0.548;2018
239;0.000141726;0.673562834;0.396103286;0.118877416;-0.000117275;0.541;2018
240;0.000139886;0.670287433;0.388920188;0.125893566;-0.000234549;0.54;2018
241;0.000130812;0.66631016;0.380657277;0.128872121;-0.000234549;0.5465;2018
242;0.000128008;0.664438503;0.386197183;0.109081281;-0.000117275;0.5475;2018
243;0.000123514;0.664438503;0.368779343;0.106168917;-0.000117275;0.538;2018
244;0.000119632;0.663736631;0.360704225;0.100013238;-0.000117275;0.5385;2018
245;0.000120179;0.663970588;0.366619718;0.09445327;-0.000234549;0.54;2018
246;0.000128097;0.668415775;0.388215962;0.093592799;-0.000234549;0.537;2018
247;0.000144275;0.665842246;0.44741784;0.084657135;-0.000234549;0.53;2018
248;0.00015596;0.669585561;0.579061033;0.085319036;-0.000234549;0.531;2018
